productId|productName|price|rating|ratingCount|searchImage|landingPageUrl
20010638|SLEEPX Striped Mild Winter 150 GSM Microfiber Cotton Reversible Single Bed Comforter|2699|0|0|http://assets.myntassets.com/assets/images/20010638/2022/9/16/7830aad5-bcae-479e-aeff-2c6310a2dcd81663302027797SLEEPXBlueCream-ColouredStripedMildWinter150GSMSingleBedComf1.jpg|Blankets-Quilts-and-Dohars/SLEEPX/SLEEPX-Striped-Mild-Winter-150-GSM-Microfiber-Cotton-Reversible-Single-Bed-Comforter/20010638/buy
20010636|SLEEPX Striped Mild Winter 150 GSM Microfiber Cotton Reversible Single Bed Comforter|2699|0|0|http://assets.myntassets.com/assets/images/20010636/2022/9/16/23537e75-a584-48a1-8d6c-db18e0aec9631663303487534SLEEPXBeigeWhiteStripedMildWinter150GSMSingleBedComforter1.jpg|Blankets-Quilts-and-Dohars/SLEEPX/SLEEPX-Striped-Mild-Winter-150-GSM-Microfiber-Cotton-Reversible-Single-Bed-Comforter/20010636/buy
20010634|SLEEPX Striped Mild Winter 150 GSM Microfiber Cotton Reversible Double Bed Comforter|3999|3.5|6|http://assets.myntassets.com/assets/images/20010634/2022/9/16/f85de2c6-c035-4d12-851d-66d4edc37d2b1663301501010SLEEPXPeach-ColouredGreenStripedMildWinter150GSMDoubleBedCom1.jpg|Blankets-Quilts-and-Dohars/SLEEPX/SLEEPX-Striped-Mild-Winter-150-GSM-Microfiber-Cotton-Reversible-Double-Bed-Comforter/20010634/buy
20010624|SLEEPX Mild Winter 150 GSM Microfiber Cotton Reversible Single Bed Comforter|2699|0|0|http://assets.myntassets.com/assets/images/20010624/2022/9/16/97056d1c-2722-41e9-809e-92683315f1461663302077140SLEEPXGreenYellowMildWinter150GSMSingleBedComforter1.jpg|Blankets-Quilts-and-Dohars/SLEEPX/SLEEPX-Mild-Winter-150-GSM-Microfiber-Cotton-Reversible-Single-Bed-Comforter/20010624/buy
20010622|SLEEPX Mild Winter 150 GSM Microfiber Cotton Reversible Double Bed Comforter|3999|0|0|http://assets.myntassets.com/assets/images/20010622/2022/9/16/ee87e807-b70b-4cd3-8754-1bde63c9d36a1663303327091SLEEPXPeach-ColouredGeometricMildWinter150GSMDoubleBedComfor1.jpg|Blankets-Quilts-and-Dohars/SLEEPX/SLEEPX-Mild-Winter-150-GSM-Microfiber-Cotton-Reversible-Double-Bed-Comforter/20010622/buy
20010620|SLEEPX Mild Winter 150 GSM Microfiber Cotton Reversible Single Bed Comforter|2699|0|0|http://assets.myntassets.com/assets/images/20010620/2022/9/16/bde33a0e-3aed-44a9-9d14-1b38e09ecb8b1663302337930SLEEPXYellowGreyCheckedMildWinter150GSMSingleBedComforter1.jpg|Blankets-Quilts-and-Dohars/SLEEPX/SLEEPX-Mild-Winter-150-GSM-Microfiber-Cotton-Reversible-Single-Bed-Comforter/20010620/buy
20010616|SLEEPX Striped Mild Winter 150 GSM Microfiber Cotton Reversible Double Bed Comforter|3999|0|0|http://assets.myntassets.com/assets/images/20010616/2022/9/16/40566311-3ce4-47a1-9ca8-cfc3f8631f1e1663303333491SLEEPXBeigeBrownStripedMildWinter150GSMDoubleBedComforter1.jpg|Blankets-Quilts-and-Dohars/SLEEPX/SLEEPX-Striped-Mild-Winter-150-GSM-Microfiber-Cotton-Reversible-Double-Bed-Comforter/20010616/buy
20010612|SLEEPX Green & Off White Striped Mild Winter 150 GSM Single Bed Comforter|2699|0|0|http://assets.myntassets.com/assets/images/20010612/2022/9/15/ed9e4bcb-34b0-4d52-b03f-d31c4650234e1663266055925SLEEPXGreenOffWhiteStripedMildWinter150GSMSingleBedComforter1.jpg|Blankets-Quilts-and-Dohars/SLEEPX/SLEEPX-Green--Off-White-Striped-Mild-Winter-150-GSM-Single-Bed-Comforter/20010612/buy
20010610|SLEEPX Beige & Green Mild Winter 150 GSM Single Bed Comforter|2699|0|0|http://assets.myntassets.com/assets/images/20010610/2022/9/15/4b6bedbb-a18d-4d0b-8386-013719f5bcba1663264153925SLEEPXBeigeGreenMildWinter150GSMSingleBedComforter1.jpg|Blankets-Quilts-and-Dohars/SLEEPX/SLEEPX-Beige--Green-Mild-Winter-150-GSM-Single-Bed-Comforter/20010610/buy
20010606|SLEEPX Blue Geometric Mild Winter 150 GSM Double Bed Comforter|3999|0|0|http://assets.myntassets.com/assets/images/20010606/2022/9/15/0ec6ac88-ac60-4984-a8af-470a115b58291663263930860SLEEPXBlueGeometricMildWinter150GSMDoubleBedComforter1.jpg|Blankets-Quilts-and-Dohars/SLEEPX/SLEEPX-Blue-Geometric-Mild-Winter-150-GSM-Double-Bed-Comforter/20010606/buy
20010604|SLEEPX Mild Winter 150 GSM Microfiber Cotton Reversible Double Bed Comforter|3999|0|0|http://assets.myntassets.com/assets/images/20010604/2022/9/16/b1a0ca32-5ef0-42b2-a59c-d67980f768d31663301004294SLEEPXGreenYellowMildWinter150GSMDoubleBedComforter1.jpg|Blankets-Quilts-and-Dohars/SLEEPX/SLEEPX-Mild-Winter-150-GSM-Microfiber-Cotton-Reversible-Double-Bed-Comforter/20010604/buy
20010602|SLEEPX Striped Mild Winter 150 GSM Microfiber Cotton Reversible Double Bed Comforter|3999|0|0|http://assets.myntassets.com/assets/images/20010602/2022/9/16/85232c27-5d11-45f2-8426-612795b812791663303667957SLEEPXBlueStripedMildWinter150GSMDoubleBedComforter1.jpg|Blankets-Quilts-and-Dohars/SLEEPX/SLEEPX-Striped-Mild-Winter-150-GSM-Microfiber-Cotton-Reversible-Double-Bed-Comforter/20010602/buy
19999880|URBAN DREAM Cotton AC Room 120 GSM Double Bed Comforter|2999|0|0|http://assets.myntassets.com/assets/images/19999880/2022/9/15/a818c76f-44b5-44ab-a480-053f147f6f611663236597002URBANDREAMGreyPinkACRoom120GSMDoubleBedComforter1.jpg|Blankets-Quilts-and-Dohars/URBAN-DREAM/URBAN-DREAM-Cotton-AC-Room-120-GSM-Double-Bed-Comforter/19999880/buy
19999878|URBAN DREAM Cotton AC Room 120 GSM Double Bed Comforter|2999|0|0|http://assets.myntassets.com/assets/images/19999878/2022/9/15/e8aef951-ee71-4cb4-a447-89d46b117c671663242497298URBANDREAMBrownACRoom120GSMDoubleBedComforter1.jpg|Blankets-Quilts-and-Dohars/URBAN-DREAM/URBAN-DREAM-Cotton-AC-Room-120-GSM-Double-Bed-Comforter/19999878/buy
19999874|URBAN DREAM Geometric AC Room 120 GSM Double Bed Comforter|2999|0|0|http://assets.myntassets.com/assets/images/19999874/2022/9/15/a9bbb8ad-6e80-488b-9ccc-965ab966e0751663239543267URBANDREAMWhiteGreenGeometricACRoom120GSMDoubleBedComforter1.jpg|Blankets-Quilts-and-Dohars/URBAN-DREAM/URBAN-DREAM-Geometric-AC-Room-120-GSM-Double-Bed-Comforter/19999874/buy
